iter	Accuracy	Logloss
441	0.948786855	0.1494689542
442	0.948786855	0.1493753241
443	0.948786855	0.1493373616
444	0.9490939803	0.1491572532
445	0.9492091523	0.1490534626
446	0.9491707617	0.1490408663
447	0.9492859337	0.1489807163
448	0.9494011057	0.1489038528
449	0.949593059	0.1486118872
450	0.949593059	0.1482973572
451	0.9497850123	0.147970671
452	0.9498234029	0.1477515092
453	0.9498617936	0.1476342033
454	0.9499385749	0.1474597797
455	0.9501689189	0.1472661816
456	0.9500153563	0.1470324429
457	0.9500153563	0.1469711835
458	0.9500153563	0.1468393071
459	0.9503608722	0.1464986677
460	0.9504376536	0.1463982654
461	0.9506296069	0.1462903435
462	0.9510519042	0.1459816354
463	0.9512438575	0.1456415484
464	0.9512054668	0.1456188645
465	0.9512438575	0.1453843914
466	0.9513590295	0.1452318934
467	0.9514358108	0.1451276227
468	0.9515125921	0.1448001868
469	0.9517813268	0.1446263002
470	0.9518197174	0.144542474
471	0.9515509828	0.1443912393
472	0.9517045455	0.1442639552
473	0.9516661548	0.1441933837
474	0.9517429361	0.1440815274
475	0.9517429361	0.1439255133
476	0.9517045455	0.1438596882
477	0.9517045455	0.1436862724
478	0.9518964988	0.1435425528
479	0.9518581081	0.143222342
480	0.9518581081	0.1431671868
481	0.9522420147	0.1430237323
482	0.9522804054	0.142919413
483	0.9522804054	0.1429063515
484	0.9522804054	0.1427382083
485	0.9523571867	0.1426907352
486	0.9522804054	0.1426352408
487	0.9522036241	0.142443292
488	0.9521652334	0.1424321228
489	0.9524339681	0.1421770216
490	0.952779484	0.1418515236
491	0.9529714373	0.1416760882
492	0.9529330467	0.1415846296
493	0.9528178747	0.141466253
494	0.952894656	0.1413402046
495	0.9528562654	0.1413037023
496	0.953009828	0.1412191782
497	0.9530866093	0.1410929438
498	0.9532017813	0.1409857624
499	0.9532017813	0.1408343597
